Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,32.5,-42.5,0.0,top
D10,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,243.05,-43.0,0.0,top
D11,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,262.05,-43.0,0.0,top
D12,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,280.05,-43.0,0.0,top
D13,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,299.55,-43.0,0.0,top
D14,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,32.36,-70.39,0.0,top
D15,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,50.5,-70.5,0.0,top
D16,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,70.0,-70.5,0.0,top
D17,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,89.5,-70.5,0.0,top
D18,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,108.55,-70.5,0.0,top
D19,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,127.55,-71.5,0.0,top
D2,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,71.05,-43.0,0.0,top
D20,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,146.5,-70.5,0.0,top
D21,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,166.0,-70.5,0.0,top
D22,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,184.55,-70.5,0.0,top
D23,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,203.55,-70.0,0.0,top
D24,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,222.55,-70.0,0.0,top
D25,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,242.0,-70.5,0.0,top
D26,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,260.55,-70.5,0.0,top
D27,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,288.5,-70.5,0.0,top
D28,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,324.0,-70.5,0.0,top
D29,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,339.6125,-70.1625,0.0,top
D3,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,90.5,-43.0,0.0,top
D30,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,361.5,-70.5,0.0,top
D31,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,380.55,-71.0,0.0,top
D32,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,38.0,-89.5,0.0,top
D33,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,61.5,-89.5,0.0,top
D34,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,81.0,-89.5,0.0,top
D35,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,99.5,-89.5,0.0,top
D36,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,118.5,-89.5,0.0,top
D37,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,138.0,-89.5,0.0,top
D38,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,156.0,-89.5,0.0,top
D39,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,175.5,-89.5,0.0,top
D4,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,109.55,-43.0,0.0,top
D40,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,194.5,-89.5,0.0,top
D41,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,213.5,-89.5,0.0,top
D42,WS2812B,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,232.5,-89.5,0.0,top
